"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2299","@smoke login page title test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","4429","@smoke user is able to land on the product page test for iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3088","@smoke logout link exist test","chromium","2026-06-30","passed","2026-06-30","","homepage.spec.ts","",""
"","3227","@smoke comp logo exists on product page","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","2937","@smoke footers exist on product page","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","4276","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3040","@smoke comp logo exists on product page","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3054","@smoke footers exist on product page","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","3142","@smoke valid login test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","4392","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3114","@smoke home page title test","chromium","2026-06-30","passed","2026-06-30","","homepage.spec.ts","",""
