"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2540","@smoke footers exist on product page","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","3968","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","2577","@smoke footers exist on product page","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","2385","@smoke comp logo exists on product page","chromium","2026-07-01","passed","2026-07-01","","productpage.spec.ts","",""
"","2938","@smoke home page title test","chromium","2026-07-01","passed","2026-07-01","","homepage.spec.ts","",""
"","3970","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","1670","@smoke login page title test","chromium","2026-07-01","passed","2026-07-01","","loginpage.spec.ts","",""
"","3953","@smoke user is able to land on the product page test for iMac","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","2545","@smoke comp logo exists on product page","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","2573","@smoke valid login test","chromium","2026-07-01","passed","2026-07-01","","loginpage.spec.ts","",""
"","2876","@smoke logout link exist test","chromium","2026-07-01","passed","2026-07-01","","homepage.spec.ts","",""
