"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5150","@regression product header displayed test for product: MacBook Air","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","341","POST test - create a user","chromium","2026-07-03","passed","2026-07-03","running e2e gorest api test","api/users.api.separate.spec.ts","",""
"","2926","@regression data driven invalid login using non fixure test for invalid21@open.com","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","3100","@smoke logout link exist test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","2991","@regression invalid login test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","0","get user test","chromium","2026-07-03","skipped","2026-07-03","","api/users.api.spec.ts","",""
"","5213","@regression product header displayed test for product: MacBook","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","5171","csv data-driven registration of user with firstname firstname04","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","4887","csv data-driven registration of user with firstname firstname03","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","5045","@regression verify product information for product: MacBook Air","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","307","mock seach data api","chromium","2026-07-03","passed","2026-07-03","","api/intercept.spec.ts","",""
"","4646","@smoke user is able to land on the product page test for iMac","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3283","@regression home page headers exist test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","4922","csv data-driven registration of user with firstname firstname01","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","2926","@regression data driven invalid login using non fixure test for invalid2@open.com","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","5038","json data-driven registration of user with firstname firstname11","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","0","Delete a user test","chromium","2026-07-03","skipped","2026-07-03","","api/users.api.spec.ts","",""
"","3670","@regression search product results count test for MacBook Air","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","1690","POST - create a single user","chromium","2026-07-03","passed","2026-07-03","","api/users.api.schema.spec.ts","",""
"","5178","@regression product images count test for product: MacBook Air","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","5064","@regression verify product information for product: MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","2987","@smoke comp logo exists on product page","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","5321","json data-driven registration of user with firstname firstname13","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","2996","@regression json data driven invalid login using non fixure test for invalid32@open.com","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","4702","@smoke user is able to land on the product page test for MacBook Air","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3320","@regression json data driven invalid login using non fixure test for invalid3@open.com","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","4921","@regression product images count test for product: MacBook","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","3078","@regression json data driven invalid login using non fixure test for invalid31@open.com","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","1096","delete user with DELETE method - AAA","chromium","2026-07-03","passed","2026-07-03","","api/users.api.aaa.spec.ts","",""
"","25","get booking details test","chromium","2026-07-03","passed","2026-07-03","","api/bookings.api.spec.ts","",""
"","2366","@regression login page logo test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","13","create new booking test","chromium","2026-07-03","passed","2026-07-03","","api/bookings.api.spec.ts","",""
"","4876","json data-driven registration of user with firstname firstname12","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","3082","@smoke footers exist on product page","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3222","@smoke comp logo exists on product page","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3636","@regression search product results count test for iMac","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","11","delete booking test","chromium","2026-07-03","passed","2026-07-03","","api/bookings.api.spec.ts","",""
"","5337","json data-driven registration of user with firstname firstname14","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","365","GET - get all users schema","chromium","2026-07-03","passed","2026-07-03","","api/users.api.schema.spec.ts","",""
"","2296","@smoke login page title test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","4800","@regression product header displayed test for product: MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","1015","update user with PUT method - AAA","chromium","2026-07-03","passed","2026-07-03","","api/users.api.aaa.spec.ts","",""
"","4868","@smoke user is able to land on the product page test for MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","4676","@regression verify product information for product: MacBook","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","3084","get registration page title test","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","3361","@smoke home page title test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","5197","@regression product images count test for product: Canon EOS 5D","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","3159","@smoke valid login test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","3739","@regression search product results count test for MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","338","PUT test - update a user","chromium","2026-07-03","passed","2026-07-03","running e2e gorest api test","api/users.api.separate.spec.ts","",""
"","4761","@regression product header displayed test for product: Canon EOS 5D","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","335","GET test - get all the users","chromium","2026-07-03","passed","2026-07-03","running e2e gorest api test","api/users.api.separate.spec.ts","",""
"","2861","intercept and log request","chromium","2026-07-03","passed","2026-07-03","","api/intercept.spec.ts","",""
"","0","Update a user test","chromium","2026-07-03","skipped","2026-07-03","","api/users.api.spec.ts","",""
"","3174","@smoke footers exist on product page","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","4979","@regression product images count test for product: MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","productpage.spec.ts","",""
"","734","@regression GET -- get location data","chromium","2026-07-03","passed","2026-07-03","","api/amadeus.oauth2.spec.ts","",""
